tiempo inicio,tiempo final,este,norte,elevacion,drill_pattern
2024/05/10 08:30,2024/05/10 08:42,650.123,180.456,40.25,PW30
2024/05/10 09:15,2024/05/10 09:40,651.234,181.567,39.75,PW30
2024/05/10 10:05,2024/05/10 10:35,649.876,179.234,41.50,PW30
2024/05/10 11:20,2024/05/10 11:32,652.345,182.678,38.90,PW30
2024/05/10 12:45,2024/05/10 13:10,648.567,178.901,42.30,PW30
2024/05/11 08:15,2024/05/11 08:50,655.789,185.234,37.80,PW31
2024/05/11 09:30,2024/05/11 10:15,656.890,186.345,36.95,PW31
2024/05/11 10:45,2024/05/11 11:30,654.678,184.123,38.40,PW31
2024/05/11 12:00,2024/05/11 12:45,657.901,187.456,35.70,PW31
2024/05/11 13:15,2024/05/11 14:20,653.456,183.012,39.25,PW31
2024/05/12 08:00,2024/05/12 08:12,660.234,190.567,34.60,PW32
2024/05/12 09:10,2024/05/12 09:22,661.345,191.678,33.85,PW32
2024/05/12 10:20,2024/05/12 10:30,659.123,189.456,35.40,PW32
2024/05/12 11:30,2024/05/12 11:45,662.456,192.789,32.70,PW32
2024/05/12 12:40,2024/05/12 13:45,658.012,188.345,36.25,PW32
2024/05/13 08:45,2024/05/13 09:35,665.678,195.012,31.50,PW33
2024/05/13 10:00,2024/05/13 11:05,666.789,196.123,30.75,PW33
2024/05/13 11:15,2024/05/13 12:00,664.567,194.901,32.40,PW33
2024/05/13 12:30,2024/05/13 13:15,667.890,197.234,29.60,PW33
2024/05/13 13:45,2024/05/13 14:05,663.456,193.789,33.25,PW33
2024/05/14 08:30,2024/05/14 09:35,670.123,200.456,28.50,PW34
2024/05/14 09:45,2024/05/14 10:25,671.234,201.567,27.75,PW34
2024/05/14 10:40,2024/05/14 11:25,669.012,199.345,29.40,PW34
2024/05/14 11:40,2024/05/14 12:45,672.345,202.678,26.60,PW34
2024/05/14 13:00,2024/05/14 13:15,668.789,198.234,30.25,PW34
